                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
68,0.95223,0.82633,1.4559,0.79822,0.69253,0.76974,0.4727,1.4986,1.0714,1.9761,0.0066835,0.0066835,0.0066835
69,0.96222,0.84198,1.4581,0.85381,0.68162,0.76871,0.46695,1.4809,1.0939,1.9627,0.006634,0.006634,0.006634
70,0.94938,0.8188,1.4541,0.76224,0.72281,0.7587,0.46617,1.4965,1.0691,1.9776,0.0065845,0.0065845,0.0065845
71,0.93321,0.79271,1.4314,0.79251,0.69231,0.76382,0.45765,1.5213,1.1056,2.0326,0.006535,0.006535,0.006535
72,0.92921,0.79557,1.4334,0.82524,0.67638,0.77534,0.45638,1.5081,1.1279,1.9844,0.0064855,0.0064855,0.0064855
73,0.93655,0.79224,1.4417,0.89172,0.67905,0.78137,0.47365,1.4837,1.0559,1.9678,0.006436,0.006436,0.006436
74,0.92714,0.80586,1.431,0.83399,0.68435,0.77042,0.46859,1.4891,1.1015,1.9848,0.0063865,0.0063865,0.0063865
75,0.92476,0.79294,1.4255,0.80084,0.72149,0.78052,0.47794,1.5005,1.0305,1.9972,0.006337,0.006337,0.006337
76,0.915,0.77074,1.412,0.85432,0.67639,0.77997,0.47348,1.4983,1.051,1.9943,0.0062875,0.0062875,0.0062875
77,0.91024,0.77693,1.4131,0.79945,0.72149,0.77713,0.47394,1.4796,1.068,1.952,0.006238,0.006238,0.006238
78,0.91389,0.76527,1.4164,0.81199,0.70822,0.77932,0.4785,1.4805,1.0947,1.969,0.0061885,0.0061885,0.0061885
79,0.90728,0.75141,1.4125,0.85778,0.67192,0.77674,0.47347,1.4898,1.0761,1.9814,0.006139,0.006139,0.006139
80,0.89741,0.74403,1.4037,0.79644,0.71883,0.76847,0.46374,1.5381,1.1066,2.0255,0.0060895,0.0060895,0.0060895
81,0.88839,0.74385,1.3956,0.8385,0.687,0.76886,0.46703,1.508,1.0718,2.0122,0.00604,0.00604,0.00604
82,0.88159,0.73725,1.3858,0.85508,0.67905,0.77553,0.47865,1.514,1.0805,2.0077,0.0059905,0.0059905,0.0059905
83,0.87419,0.72092,1.3792,0.80045,0.70822,0.77698,0.48345,1.4783,1.0643,1.9735,0.005941,0.005941,0.005941
84,0.87866,0.72765,1.3849,0.81857,0.69414,0.78103,0.48476,1.4884,1.0742,1.9814,0.0058915,0.0058915,0.0058915
85,0.86691,0.71613,1.3731,0.81375,0.71618,0.78706,0.48471,1.4993,1.0591,2.0011,0.005842,0.005842,0.005842
