                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
124,0.76612,0.68324,1.2627,0.80856,0.71905,0.80399,0.53817,1.0393,0.82827,1.4568,0.005941,0.005941,0.005941
125,0.76059,0.66823,1.2522,0.79014,0.72949,0.8017,0.53396,1.0499,0.82686,1.4552,0.005908,0.005908,0.005908
126,0.74365,0.64531,1.2445,0.80445,0.72121,0.8003,0.53616,1.0419,0.82233,1.4605,0.005875,0.005875,0.005875
127,0.75881,0.66949,1.257,0.79729,0.71905,0.79498,0.53042,1.0532,0.84548,1.4745,0.005842,0.005842,0.005842
128,0.75155,0.65161,1.2591,0.78935,0.72551,0.78915,0.53158,1.0526,0.85091,1.4758,0.005809,0.005809,0.005809
129,0.7421,0.65328,1.2481,0.79977,0.73089,0.80105,0.53401,1.0561,0.83636,1.4828,0.005776,0.005776,0.005776
130,0.74813,0.66253,1.2514,0.7858,0.73449,0.79907,0.53709,1.0438,0.82529,1.4748,0.005743,0.005743,0.005743
131,0.73434,0.63457,1.2428,0.81848,0.71152,0.80175,0.54455,1.0453,0.80883,1.4784,0.00571,0.00571,0.00571
132,0.73705,0.64578,1.2407,0.78387,0.74596,0.80027,0.5428,1.0454,0.81902,1.4762,0.005677,0.005677,0.005677
133,0.73217,0.64071,1.2362,0.77153,0.74704,0.79779,0.54119,1.0417,0.8301,1.4847,0.005644,0.005644,0.005644
134,0.73492,0.63157,1.2366,0.79505,0.71905,0.79237,0.54048,1.0455,0.8325,1.4902,0.005611,0.005611,0.005611
135,0.72724,0.63378,1.2363,0.76743,0.74596,0.79453,0.53328,1.0578,0.83702,1.5024,0.005578,0.005578,0.005578
136,0.72303,0.627,1.2328,0.799,0.71887,0.79559,0.53372,1.0756,0.8265,1.5227,0.005545,0.005545,0.005545
137,0.73403,0.63005,1.2325,0.78409,0.73628,0.79859,0.538,1.0757,0.80026,1.5302,0.005512,0.005512,0.005512
138,0.72042,0.63162,1.228,0.77339,0.7395,0.7983,0.53904,1.0691,0.81112,1.5263,0.005479,0.005479,0.005479
139,0.7162,0.61016,1.2276,0.78336,0.72786,0.79873,0.53694,1.0738,0.81659,1.5302,0.005446,0.005446,0.005446
140,0.7153,0.62389,1.2269,0.78513,0.72443,0.79506,0.53558,1.0711,0.81452,1.5298,0.005413,0.005413,0.005413
141,0.71758,0.61271,1.2235,0.77979,0.73185,0.79389,0.53735,1.0632,0.80585,1.5242,0.00538,0.00538,0.00538
142,0.71463,0.61225,1.2151,0.78745,0.73735,0.79867,0.53774,1.0714,0.81176,1.5228,0.005347,0.005347,0.005347
143,0.71437,0.60875,1.2156,0.77248,0.74489,0.79561,0.53195,1.0811,0.8227,1.5318,0.005314,0.005314,0.005314
144,0.70012,0.59986,1.2217,0.80153,0.72336,0.79455,0.53112,1.0839,0.82208,1.5397,0.005281,0.005281,0.005281
145,0.70148,0.6139,1.2139,0.78738,0.74544,0.79369,0.53336,1.0913,0.81302,1.5606,0.005248,0.005248,0.005248
146,0.71073,0.60163,1.2184,0.79451,0.74084,0.79679,0.53197,1.0822,0.82138,1.5439,0.005215,0.005215,0.005215
147,0.69066,0.57967,1.2073,0.79218,0.73857,0.79369,0.52789,1.0816,0.83799,1.5478,0.005182,0.005182,0.005182
148,0.68392,0.57289,1.1971,0.78427,0.74919,0.79476,0.52928,1.0741,0.84267,1.5462,0.005149,0.005149,0.005149
149,0.68843,0.58596,1.201,0.78908,0.74273,0.7915,0.52844,1.0742,0.84885,1.5434,0.005116,0.005116,0.005116
150,0.67323,0.5753,1.1925,0.79262,0.72766,0.79313,0.53041,1.0756,0.84574,1.5465,0.005083,0.005083,0.005083
151,0.68297,0.58186,1.2028,0.80303,0.71534,0.79078,0.52976,1.0768,0.84703,1.5539,0.00505,0.00505,0.00505
